chamber,component,component_idx,facet,pearson_r
senate,party-alignment,0,judicial_appointments,0.9991
house,party-alignment,0,executive_power,-0.9957
house,party-alignment,0,climate_energy,-0.9916
house,party-alignment,0,antisemitism_civil_rights,-0.9801
senate,party-alignment,0,antisemitism_civil_rights,0.976
senate,party-alignment,0,climate_energy,0.9721
senate,party-alignment,0,social_safety_net,0.972
senate,party-alignment,0,executive_power,0.9671
senate,party-alignment,0,law_enforcement,0.9635
house,party-alignment,0,immigration_enforcement,0.9535
senate,party-alignment,0,foreign_aid,0.9457
house,party-alignment,0,federal_spending,-0.9388
house,party-alignment,0,foreign_aid,-0.9241
senate,party-alignment,0,federal_spending,0.9194
house,party-alignment,0,law_enforcement,0.9057
house,party-alignment,0,china_competition,0.8955
senate,party-alignment,0,israel_aid,0.8729
house,party-alignment,0,judicial_appointments,0.8599
house,internationalism-vs-america-first,1,nato_alliance,0.8341
house,party-alignment,0,surveillance_power,-0.8079
house,party-alignment,0,defense_spending,0.802
house,party-alignment,0,israel_aid,0.7937
house,party-alignment,0,social_safety_net,-0.7801
senate,internationalism-vs-civil-libertarian-skeptics,1,ukraine_aid,0.7731
senate,party-alignment,0,china_competition,-0.7613
house,internationalism-vs-america-first,1,ukraine_aid,0.7134
senate,internationalism-vs-civil-libertarian-skeptics,1,defense_spending,0.6865
senate,internationalism-vs-civil-libertarian-skeptics,1,surveillance_power,0.5996
senate,party-alignment,0,nato_alliance,0.5986
senate,internationalism-vs-civil-libertarian-skeptics,1,nato_alliance,0.587
house,internationalism-vs-america-first,1,war_powers,0.5769
house,internationalism-vs-america-first,1,defense_spending,0.538
senate,internationalism-vs-civil-libertarian-skeptics,1,war_powers,0.5321
house,security-hawks-vs-civil-libertarians,2,war_powers,0.5253
house,party-alignment,0,ukraine_aid,-0.4856
senate,internationalism-vs-civil-libertarian-skeptics,1,immigration_enforcement,0.4817
senate,party-alignment,0,immigration_enforcement,0.4643
senate,party-alignment,0,war_powers,-0.4507
house,internationalism-vs-america-first,1,social_safety_net,0.4321
senate,party-alignment,0,defense_spending,0.43
house,internationalism-vs-america-first,1,surveillance_power,0.3839
senate,party-alignment,0,ukraine_aid,0.3679
house,internationalism-vs-america-first,1,israel_aid,0.3671
house,internationalism-vs-america-first,1,federal_spending,0.3254
house,internationalism-vs-america-first,1,foreign_aid,0.3235
senate,internationalism-vs-civil-libertarian-skeptics,1,federal_spending,0.3102
senate,security-consensus-vs-institutional-skeptics,2,war_powers,0.3038
house,security-hawks-vs-civil-libertarians,2,israel_aid,0.2965
senate,internationalism-vs-civil-libertarian-skeptics,1,israel_aid,0.2904
house,party-alignment,0,nato_alliance,0.2857
house,security-hawks-vs-civil-libertarians,2,china_competition,0.2842
house,internationalism-vs-america-first,1,law_enforcement,0.2836
senate,party-alignment,0,surveillance_power,0.2806
house,executive-power-skeptics-vs-bipartisan-hawks,3,nato_alliance,-0.2713
senate,internationalism-vs-civil-libertarian-skeptics,1,china_competition,0.2664
house,internationalism-vs-america-first,1,china_competition,0.2636
house,security-hawks-vs-civil-libertarians,2,surveillance_power,0.243
senate,security-consensus-vs-institutional-skeptics,2,surveillance_power,0.2424
house,internationalism-vs-america-first,1,immigration_enforcement,0.2375
senate,security-consensus-vs-institutional-skeptics,2,defense_spending,0.2066
house,executive-power-skeptics-vs-bipartisan-hawks,3,ukraine_aid,-0.1972
senate,security-consensus-vs-institutional-skeptics,2,china_competition,0.1959
house,security-hawks-vs-civil-libertarians,2,law_enforcement,0.1886
senate,internationalism-vs-civil-libertarian-skeptics,1,foreign_aid,0.1883
house,executive-power-skeptics-vs-bipartisan-hawks,3,law_enforcement,0.175
house,internationalism-vs-america-first,1,judicial_appointments,0.1729
senate,security-consensus-vs-institutional-skeptics,2,executive_power,0.1639
house,security-hawks-vs-civil-libertarians,2,defense_spending,0.14
house,executive-power-skeptics-vs-bipartisan-hawks,3,war_powers,-0.1327
senate,internationalism-vs-civil-libertarian-skeptics,1,antisemitism_civil_rights,-0.1315
senate,internationalism-vs-civil-libertarian-skeptics,1,climate_energy,-0.1266
house,party-alignment,0,war_powers,0.1261
house,security-hawks-vs-civil-libertarians,2,antisemitism_civil_rights,0.1233
senate,security-consensus-vs-institutional-skeptics,2,social_safety_net,0.1215
senate,security-consensus-vs-institutional-skeptics,2,climate_energy,0.1206
house,executive-power-skeptics-vs-bipartisan-hawks,3,immigration_enforcement,0.1172
house,executive-power-skeptics-vs-bipartisan-hawks,3,china_competition,0.1159
