chamber,component_idx,component_label,industry_type,pearson_r,p_value
house,0,party-alignment,Cooperative,0.0493801812841644,0.35494346362718987
house,0,party-alignment,Corp w/o Capital Stock,0.11128926460277354,0.03661639532144137
house,0,party-alignment,Corporation,0.1398953846668541,0.008487683540808613
house,0,party-alignment,House campaign,0.24540936091324012,3.0709671249885375e-06
house,0,party-alignment,Labor Organization,-0.6380993028739662,9.364149684180974e-42
house,0,party-alignment,Membership Organization,-0.03965965101739524,0.4576109031235988
house,0,party-alignment,Multi-candidate PAC,0.15710308452665012,0.003080094786080995
house,0,party-alignment,Non-connected PAC,0.2650954790907705,4.332691485414685e-07
house,0,party-alignment,PAC w/ non-contrib acct,0.24326563602939852,3.7644405013162035e-06
house,0,party-alignment,Party - national (NQ),0.10867899329113812,0.04128078919010451
house,0,party-alignment,Party - state (NQ),-0.18355937034415937,0.000528203311030871
house,0,party-alignment,Presidential campaign,-0.04595511667413114,0.3893423122692281
house,0,party-alignment,Senate campaign,-0.20404854835259303,0.00011300599375735128
house,0,party-alignment,Single-candidate IE,-0.02908654070032215,0.5859850217680862
house,0,party-alignment,Super PAC,-0.05646343126992087,0.290085963282903
house,0,party-alignment,Super PAC (non-contrib),-0.2217257227358034,2.628082578791043e-05
house,0,party-alignment,Super PAC hybrid,-0.34690350134228387,2.0289690225733703e-11
house,0,party-alignment,Trade Association,0.20828114431303332,8.057229154163652e-05
house,1,internationalism-vs-america-first,Cooperative,0.13122447178565458,0.013609146836066245
house,1,internationalism-vs-america-first,Corp w/o Capital Stock,0.25867512969317685,8.352995647829063e-07
house,1,internationalism-vs-america-first,Corporation,0.3599053228309835,3.1010731147282574e-12
house,1,internationalism-vs-america-first,House campaign,0.1971698573180234,0.00019300019980789706
house,1,internationalism-vs-america-first,Labor Organization,0.28560938108889544,4.727891349879835e-08
house,1,internationalism-vs-america-first,Membership Organization,0.44537814552732996,1.3293228636801007e-18
house,1,internationalism-vs-america-first,Multi-candidate PAC,0.30585913073358656,4.427086172079436e-09
house,1,internationalism-vs-america-first,Non-connected PAC,0.19215010492142387,0.0002820383568161505
house,1,internationalism-vs-america-first,PAC w/ non-contrib acct,0.10434440519665314,0.05013034411735772
house,1,internationalism-vs-america-first,Party - national (NQ),0.11909230834966728,0.025248854476359637
house,1,internationalism-vs-america-first,Party - state (NQ),0.2544268687530563,1.2774944042015736e-06
house,1,internationalism-vs-america-first,Presidential campaign,0.027959311961558132,0.6005936873450585
house,1,internationalism-vs-america-first,Senate campaign,0.1484917549375076,0.005181540700364422
house,1,internationalism-vs-america-first,Single-candidate IE,0.09401283816691937,0.07773456707802019
house,1,internationalism-vs-america-first,Super PAC,0.15913847071944148,0.0027134217362159005
house,1,internationalism-vs-america-first,Super PAC (non-contrib),0.19217206505330514,0.0002815764664435625
house,1,internationalism-vs-america-first,Super PAC hybrid,0.3114167218519884,2.237199029346517e-09
house,1,internationalism-vs-america-first,Trade Association,0.31932074136881855,8.268395413843495e-10
house,2,security-hawks-vs-civil-libertarians,Cooperative,0.1747757664379675,0.0009754704179470344
house,2,security-hawks-vs-civil-libertarians,Corp w/o Capital Stock,0.20462779669405645,0.00010793710892119495
house,2,security-hawks-vs-civil-libertarians,Corporation,0.24635300697390564,2.80603564658011e-06
house,2,security-hawks-vs-civil-libertarians,House campaign,0.15095114386000302,0.0044780937125660876
house,2,security-hawks-vs-civil-libertarians,Labor Organization,0.059935418496279015,0.2613949723633792
house,2,security-hawks-vs-civil-libertarians,Membership Organization,0.3667449415597386,1.1148960737914326e-12
house,2,security-hawks-vs-civil-libertarians,Multi-candidate PAC,0.23071998983694364,1.1940216246975744e-05
house,2,security-hawks-vs-civil-libertarians,Non-connected PAC,0.20192486379267438,0.00013356694106250413
house,2,security-hawks-vs-civil-libertarians,PAC w/ non-contrib acct,0.039290712530352524,0.46180899271398124
house,2,security-hawks-vs-civil-libertarians,Party - national (NQ),0.026594602449137552,0.6184959843095608
house,2,security-hawks-vs-civil-libertarians,Party - state (NQ),0.20051981130622096,0.0001490465105092984
house,2,security-hawks-vs-civil-libertarians,Presidential campaign,0.11756555670581557,0.02719645342245851
house,2,security-hawks-vs-civil-libertarians,Senate campaign,0.2794054408884223,9.418115242357735e-08
house,2,security-hawks-vs-civil-libertarians,Single-candidate IE,0.07150129022460182,0.1801353079607575
house,2,security-hawks-vs-civil-libertarians,Super PAC,0.05901483961589581,0.26880465953192173
house,2,security-hawks-vs-civil-libertarians,Super PAC (non-contrib),0.12754570230930296,0.01649986394007255
house,2,security-hawks-vs-civil-libertarians,Super PAC hybrid,0.09528791970213303,0.07377310237846887
house,2,security-hawks-vs-civil-libertarians,Trade Association,0.31915127526796533,8.449343129023695e-10
house,3,executive-power-skeptics-vs-bipartisan-hawks,Cooperative,-0.1587117579807691,0.0027868293695766906
house,3,executive-power-skeptics-vs-bipartisan-hawks,Corp w/o Capital Stock,-0.14375930291101527,0.006820597352109773
