bioguide_id,display_name,party,state,row_idx
A000055,Robert B. Aderholt,Republican,AL,0
B001257,Gus M. Bilirakis,Republican,FL,1
B000490,"Sanford D. Bishop, Jr.",Democrat,GA,2
B001260,Vern Buchanan,Republican,FL,3
C000059,Ken Calvert,Republican,CA,4
C001072,André Carson,Democrat,IN,5
C001051,John R. Carter,Republican,TX,6
C001066,Kathy Castor,Democrat,FL,7
C001080,Judy Chu,Democrat,CA,8
C001067,Yvette D. Clarke,Democrat,NY,9
C001061,Emanuel Cleaver,Democrat,MO,10
C000537,James E. Clyburn,Democrat,SC,11
C001068,Steve Cohen,Democrat,TN,12
C001053,Tom Cole,Republican,OK,13
C001059,Jim Costa,Democrat,CA,14
C001069,Joe Courtney,Democrat,CT,15
C001087,"Eric A. ""Rick"" Crawford",Republican,AR,16
C001063,Henry Cuellar,Democrat,TX,17
D000096,Danny K. Davis,Democrat,IL,18
D000197,Diana DeGette,Democrat,CO,19
D000216,Rosa L. DeLauro,Democrat,CT,20
D000616,Scott DesJarlais,Republican,TN,21
D000600,Mario Diaz-Balart,Republican,FL,22
D000399,Lloyd Doggett,Democrat,TX,23
F000459,"Charles J. ""Chuck"" Fleischmann",Republican,TN,24
F000450,Virginia Foxx,Republican,NC,25
G000559,John Garamendi,Democrat,CA,26
G000565,Paul A. Gosar,Republican,AZ,27
G000546,Sam Graves,Republican,MO,28
G000553,Al Green,Democrat,TX,29
G000568,H. Morgan Griffith,Republican,VA,30
G000558,Brett Guthrie,Republican,KY,31
H001052,Andy Harris,Republican,MD,32
H001047,James A. Himes,Democrat,CT,33
H000874,Steny H. Hoyer,Democrat,MD,34
H001058,Bill Huizenga,Republican,MI,35
J000288,"Henry C. ""Hank"" Johnson, Jr.",Democrat,GA,36
J000289,Jim Jordan,Republican,OH,37
K000009,Marcy Kaptur,Democrat,OH,38
K000375,William R. Keating,Democrat,MA,39
K000376,Mike Kelly,Republican,PA,40
L000560,Rick Larsen,Democrat,WA,41
L000557,John B. Larson,Democrat,CT,42
L000566,Robert E. Latta,Republican,OH,43
L000397,Zoe Lofgren,Democrat,CA,44
L000491,Frank D. Lucas,Republican,OK,45
L000562,Stephen F. Lynch,Democrat,MA,46
M001163,Doris O. Matsui,Democrat,CA,47
M001157,Michael T. McCaul,Republican,TX,48
M001177,Tom McClintock,Republican,CA,49
M001143,Betty McCollum,Democrat,MN,50
M000312,James P. McGovern,Democrat,MA,51
M001137,Gregory W. Meeks,Democrat,NY,52
M001160,Gwen Moore,Democrat,WI,53
N000002,Jerrold Nadler,Democrat,NY,54
N000015,Richard E. Neal,Democrat,MA,55
N000147,Eleanor Holmes Norton,Democrat,DC,56
P000034,"Frank Pallone, Jr.",Democrat,NJ,57
P000197,Nancy Pelosi,Democrat,CA,58
P000597,Chellie Pingree,Democrat,ME,59
Q000023,Mike Quigley,Democrat,IL,60
R000395,Harold Rogers,Republican,KY,61
R000575,Mike Rogers,Republican,AL,62
