bioguide_id,display_name,party,state,row_idx
C000127,Maria Cantwell,Democrat,WA,0
K000367,Amy Klobuchar,Democrat,MN,1
S000033,Bernard Sanders,Independent,VT,2
W000802,Sheldon Whitehouse,Democrat,RI,3
B001261,John Barrasso,Republican,WY,4
W000437,Roger F. Wicker,Republican,MS,5
C001035,Susan M. Collins,Republican,ME,6
C001056,John Cornyn,Republican,TX,7
D000563,Richard J. Durbin,Democrat,IL,8
G000359,Lindsey Graham,Republican,SC,9
M000355,Mitch McConnell,Republican,KY,10
M001176,Jeff Merkley,Democrat,OR,11
R000122,Jack Reed,Democrat,RI,12
R000584,James E. Risch,Republican,ID,13
S001181,Jeanne Shaheen,Democrat,NH,14
W000805,Mark R. Warner,Democrat,VA,15
G000555,Kirsten E. Gillibrand,Democrat,NY,16
C001088,Christopher A. Coons,Democrat,DE,17
B001230,Tammy Baldwin,Democrat,WI,18
B001267,Michael F. Bennet,Democrat,CO,19
B001243,Marsha Blackburn,Republican,TN,20
B001277,Richard Blumenthal,Democrat,CT,21
B001236,John Boozman,Republican,AR,22
C001047,Shelley Moore Capito,Republican,WV,23
C001075,Bill Cassidy,Republican,LA,24
C000880,Mike Crapo,Republican,ID,25
G000386,Chuck Grassley,Republican,IA,26
H001046,Martin Heinrich,Democrat,NM,27
H001042,Mazie K. Hirono,Democrat,HI,28
H001061,John Hoeven,Republican,ND,29
J000293,Ron Johnson,Republican,WI,30
L000575,James Lankford,Republican,OK,31
L000577,Mike Lee,Republican,UT,32
L000570,Ben Ray Luján,Democrat,NM,33
M000133,Edward J. Markey,Democrat,MA,34
M000934,Jerry Moran,Republican,KS,35
M001153,Lisa Murkowski,Republican,AK,36
M001169,Christopher Murphy,Democrat,CT,37
M001111,Patty Murray,Democrat,WA,38
P000603,Rand Paul,Republican,KY,39
P000595,Gary C. Peters,Democrat,MI,40
S000148,Charles E. Schumer,Democrat,NY,41
S001184,Tim Scott,Republican,SC,42
T000250,John Thune,Republican,SD,43
V000128,Chris Van Hollen,Democrat,MD,44
W000800,Peter Welch,Democrat,VT,45
W000779,Ron Wyden,Democrat,OR,46
Y000064,Todd Young,Republican,IN,47
S001194,Brian Schatz,Democrat,HI,48
C001095,Tom Cotton,Republican,AR,49
D000622,Tammy Duckworth,Democrat,IL,50
W000817,Elizabeth Warren,Democrat,MA,51
K000383,"Angus S. King, Jr.",Independent,ME,52
D000618,Steve Daines,Republican,MT,53
C001096,Kevin Cramer,Republican,ND,54
F000463,Deb Fischer,Republican,NE,55
C001098,Ted Cruz,Republican,TX,56
K000384,Tim Kaine,Democrat,VA,57
B001288,Cory A. Booker,Democrat,NJ,58
S001198,Dan Sullivan,Republican,AK,59
E000295,Joni Ernst,Republican,IA,60
T000476,Thom Tillis,Republican,NC,61
R000605,Mike Rounds,Republican,SD,62
K000393,John Kennedy,Republican,LA,63
H001076,Margaret Wood Hassan,Democrat,NH,64
C001113,Catherine Cortez Masto,Democrat,NV,65
M001198,Roger Marshall,Republican,KS,66
B001305,Ted Budd,Republican,NC,67
R000608,Jacky Rosen,Democrat,NV,68
S001203,Tina Smith,Democrat,MN,69
H001079,Cindy Hyde-Smith,Republican,MS,70
S001217,Rick Scott,Republican,FL,71
H001089,Josh Hawley,Republican,MO,72
K000377,Mark Kelly,Democrat,AZ,73
L000571,Cynthia M. Lummis,Republican,WY,74
T000278,Tommy Tuberville,Republican,AL,75
H000273,John W. Hickenlooper,Democrat,CO,76
H000601,Bill Hagerty,Republican,TN,77
P000145,Alex Padilla,Democrat,CA,78
O000174,Jon Ossoff,Democrat,GA,79
W000790,Raphael G. Warnock,Democrat,GA,80
B001319,Katie Boyd Britt,Republican,AL,81
S001227,Eric Schmitt,Republican,MO,82
F000479,John Fetterman,Democrat,PA,83
R000618,Pete Ricketts,Republican,NE,84
