component_idx,direction,vote_id,loading,question,category,date
0,pos,2023/h720,0.04142378071981839,H.Res. 918 (118th): Directing certain committees to continue their ongoing investigations as part of the existing House of Representatives inquiry into whether sufficient grounds exist for the House of Representatives to exercise its Constitutional power,passage,2023-12-13T17:46:00
0,pos,2023/h477,0.04141091289170908,H.Amdt. 457 (Gaetz) to H.R. 4665: To prohibit funds from being used to implement the Paris Agreement.,amendment,2023-09-28T17:40:00
0,pos,2023/h374,0.04139085496154978,H.Amdt. 299 (Rosendale) to H.R. 4366: To prohibit the use of funds made available by this Act from enforcing any COVID-19 mask mandates.,amendment,2023-07-26T18:24:00
0,pos,2023/h23,0.041387679527806615,"H.Res. 5 (118th): Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes.",passage,2023-01-09T19:05:00
0,pos,2023/h308,0.041381179125578815,H.Amdt. 232 (Roy) to H.R. 2670: To amend Section 904 to prohibit federal funds from being used to establish a position within the Department of Defense for anything similar to Chief Diversity Officers or Senior Advisors for Diversity and Inclusion.,amendment,2023-07-13T17:54:00
0,pos,2023/h509,0.041376513025702014,"H.Res. 741 (118th): Providing for consideration of the bill (H.R. 5525) making continuing appropriations for fiscal year 2024, and for other purposes.",passage,2023-09-29T11:57:00
0,pos,2023/h500,0.041374168495753504,"H.R. 4665 (118th): Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",passage,2023-09-28T22:42:00
0,pos,2023/h296,0.04135811164048187,"H.Res. 583 (118th): Providing for further consideration of the bill (H.R. 2670) to authorize appropriations for fiscal year 2024 for military activities of the Department of Defense and for military construction, and for defense activities of the Departm",passage,2023-07-13T14:05:00
0,pos,2023/h25,0.04135434696820544,H.R. 23 (118th): Family and Small Business Taxpayer Protection Act,passage,2023-01-09T21:23:00
0,pos,2023/h265,0.04133591848277198,H.R. 277 (118th): Regulations from the Executive in Need of Scrutiny Act of 2023,passage,2023-06-14T15:49:00
0,pos,2023/h301,0.04133039160740691,H.Amdt. 223 (Rosendale) to H.R. 2670: To prohibit TRICARE from covering and the Department of Defense from furnishing sex reassignment surgeries and gender hormone treatments for transgender individuals.,amendment,2023-07-13T17:32:00
0,pos,2023/h302,0.04133039160740691,"H.Amdt. 224 (Norman) to H.R. 2670: To prohibit provision of gender transition procedures, including surgery or medication, through the Exceptional Family Member Program.",amendment,2023-07-13T17:35:00
0,pos,2023/h285,0.0413295591884233,"H.Res. 529 (118th): Relating to the resolution (H. Res. 503) impeaching Joseph R. Biden, Jr., President of the United States, for high crimes and misdemeanors.",passage,2023-06-22T14:03:00
0,pos,2023/h300,0.04132673923027521,H.Amdt. 222 (Jackson) to H.R. 2670: To prohibit the Secretary of Defense from paying for or reimbursing expenses relating to abortion services.,amendment,2023-07-13T17:29:00
0,pos,2023/h27,0.041318649029906174,H.Res. 12 (118th): Establishing a Select Subcommittee on the Weaponization of the Federal Government as a select investigative subcommittee of the Committee on the Judiciary.,passage,2023-01-10T16:29:00
0,pos,2023/h378,0.04131035379240359,"H.Amdt. 303 (Zinke) to H.R. 4366: To prohibit funding for administering, implementing, or enforcing Executive Order 14057 (Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability).",amendment,2023-07-26T18:38:00
0,pos,2023/h324,0.04130969306889151,H.Amdt. 253 (Burlison) to H.R. 2670: To prohibit DoD from establishing new DEI administrator positions and/or taking actions to fill vacancies in currently existing DEI billets.,amendment,2023-07-13T23:18:00
0,pos,2023/h271,0.04129705134990237,H.R. 288 (118th): Separation of Powers Restoration Act of 2023,passage,2023-06-15T10:45:00
0,pos,2023/h406,0.04129589568807042,"H.Res. 723 (118th): Providing for consideration of the bill (H.R. 4365) making appropriations for the Department of Defense for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 4367) making ",passage,2023-09-26T20:12:00
0,pos,2024/h35,0.04128933386211709,"H.Res. 996 (118th): Providing for consideration of the resolution (H.Res. 863) impeaching Alejandro Nicholas Mayorkas, Secretary of Homeland Security, for high crimes and misdemeanors, and providing for consideration of the bill (H.R. 485) to amend title",passage,2024-02-06T14:06:00
0,neg,2023/h260,-0.041368952894966705,H.Amdt. 200 (Green) to H.R. 277: To create a rapid-review requirement which would allow executive branch rules to go into effect if Congress does not pass a joint resolution within 70 legislative days.,amendment,2023-06-14T15:20:00
0,neg,2023/h218,-0.04130610991459619,H.Amdt. 175 (Jacobs) to H.R. 3091: To require each federal agency to establish determinations for an officer in good standing.,amendment,2023-05-17T17:41:00
