vote_id,category,question,date,col_idx
2023/s1,nomination,"On the Nomination PN1: Brendan Owens, of Virginia, to be an Assistant Secretary of Defense",2023-01-23T17:26:00,0
2023/s2,passage,S.Res. 13 (118th): A resolution raising awareness and encouraging the prevention of stalking by designating January 2023 as “National Stalking Awareness Month”.,2023-01-26T13:40:00,1
2023/s3,nomination,"On the Nomination PN62: Roger Israel Zakheim, of Maryland, to be a Member of the Board of Directors of the United States Institute of Peace for a term of four years",2023-01-30T17:30:00,2
2023/s4,passage,"S.Res. 21 (118th): A resolution supporting the observation of National Trafficking and Modern Slavery Prevention Month during the period beginning on January 1, 2023, and ending on February 1, 2023, to raise awareness of, and opposition to, human traffic",2023-02-01T15:29:00,3
2023/s5,nomination,"On the Nomination PN61: Joseph Lee Falk, of Florida, to be a Member of the Board of Directors of the United States Institute of Peace for a term of four years",2023-02-02T13:38:00,4
2023/s6,cloture,"Motion to Invoke Cloture: DeAndrea Gist Benjamin to be U.S. Circuit Judge for the Fourth Circuit: DeAndrea Gist Benjamin, of South Carolina, to be United States Circuit Judge for the Fourth Circuit",2023-02-07T17:31:00,5
2023/s7,nomination,"On the Nomination PN88: DeAndrea Gist Benjamin, of South Carolina, to be United States Circuit Judge for the Fourth Circuit",2023-02-09T11:09:00,6
2023/s8,cloture,"Motion to Invoke Cloture: Cindy K. Chung to be U.S. Circuit Judge for the Third Circuit: Cindy K. Chung, of Pennsylvania, to be United States Circuit Judge for the Third Circuit",2023-02-09T13:41:00,7
2023/s9,nomination,"On the Nomination PN92: Cindy K. Chung, of Pennsylvania, to be United States Circuit Judge for the Third Circuit",2023-02-13T17:35:00,8
2023/s10,cloture,"Motion to Invoke Cloture: Gina R. Mendez-Miro to be U.S. District Judge for the District of Puerto Rico: Gina R. Mendez-Miro, of Puerto Rico, to be United States District Judge for the District of Puerto Rico",2023-02-13T18:21:00,9
2023/s11,nomination,"On the Nomination PN79: Gina R. Mendez-Miro, of Puerto Rico, to be United States District Judge for the District of Puerto Rico",2023-02-14T11:37:00,10
2023/s12,cloture,"Motion to Invoke Cloture: Lindsay C. Jenkins to be U.S. District Judge for the Northern District of Illinois: Lindsay C. Jenkins, of Illinois, to be United States District Judge for the Northern District of Illinois",2023-02-14T12:26:00,11
2023/s13,nomination,"On the Nomination PN74: Lindsay C. Jenkins, of Illinois, to be United States District Judge for the Northern District of Illinois",2023-02-14T14:15:00,12
2023/s14,cloture,"Motion to Invoke Cloture: Matthew L. Garcia to be U.S. District Judge for the District of New Mexico: Matthew L. Garcia, of New Mexico, to be United States District Judge for the District of New Mexico",2023-02-14T14:57:00,13
2023/s15,nomination,"On the Nomination PN72: Matthew L. Garcia, of New Mexico, to be United States District Judge for the District of New Mexico",2023-02-14T16:28:00,14
2023/s16,cloture,"Motion to Invoke Cloture: Adrienne C. Nelson to be U.S. District Judge for the District of Oregon: Adrienne C. Nelson, of Oregon, to be United States District Judge for the District of Oregon",2023-02-14T17:14:00,15
2023/s17,nomination,"On the Nomination PN71: Adrienne C. Nelson, of Oregon, to be United States District Judge for the District of Oregon",2023-02-15T11:31:00,16
2023/s18,cloture,"Motion to Invoke Cloture: Ana C. Reyes to be U.S. District Judge for the District of Columbia: Ana C. Reyes, of the District of Columbia, to be United States District Judge for the District of Columbia",2023-02-15T12:26:00,17
2023/s19,cloture,"Motion to Invoke Cloture: Daniel J. Calabretta to be U.S. District Judge for the Eastern District of California: Daniel J. Calabretta, of California, to be United States District Judge for the Eastern District of California",2023-02-15T13:57:00,18
2023/s20,nomination,"On the Nomination PN80: Ana C. Reyes, of the District of Columbia, to be United States District Judge for the District of Columbia",2023-02-15T16:36:00,19
2023/s21,cloture,"Motion to Invoke Cloture: Lester Martinez Lopez to be an Assistant Secretary of Defense: Lester Martinez-Lopez, of Florida, to be an Assistant Secretary of Defense",2023-02-15T17:21:00,20
2023/s23,nomination,"On the Nomination PN3: Lester Martinez-Lopez, of Florida, to be an Assistant Secretary of Defense",2023-02-16T12:20:00,21
2023/s24,cloture,"Motion to Invoke Cloture: Maria Araujo Kahn to be U.S. Circuit Judge for the Second Circuit: Maria Araujo Kahn, of Connecticut, to be United States Circuit Judge for the Second Circuit",2023-02-16T13:40:00,22
2023/s22,nomination,"On the Nomination PN73: Daniel J. Calabretta, of California, to be United States District Judge for the Eastern District of California",2023-02-16T23:27:00,23
2023/s25,cloture,"Motion to Invoke Cloture: Jamar K. Walker to be U.S. District Judge for the Eastern District of Virginia: Jamar K. Walker, of Virginia, to be United States District Judge for the Eastern District of Virginia",2023-02-27T17:34:00,24
2023/s26,nomination,"On the Nomination PN78: Jamar K. Walker, of Virginia, to be United States District Judge for the Eastern District of Virginia",2023-02-28T11:27:00,25
2023/s27,cloture,"Motion to Invoke Cloture: Jamal N. Whitehead to be U.S. District Judge for the Western District of Washington: Jamal N. Whitehead, of Washington, to be United States District Judge for the Western District of Washington",2023-02-28T12:20:00,26
2023/s28,nomination,"On the Nomination PN75: Jamal N. Whitehead, of Washington, to be United States District Judge for the Western District of Washington",2023-02-28T14:15:00,27
2023/s29,cloture,"Motion to Invoke Cloture: Araceli Martinez-Olguin to be U.S. District Judge for the Northern District of California.: Araceli Martinez-Olguin, of California, to be United States District Judge for the Northern District of California",2023-02-28T14:53:00,28
2023/s30,nomination,"On the Nomination PN76: Araceli Martinez-Olguin, of California, to be United States District Judge for the Northern District of California",2023-02-28T16:27:00,29
2023/s31,cloture,"Motion to Invoke Cloture: Margaret R. Guzman to be U.S. District Judge for the District of Massachusetts: Margaret R. Guzman, of Massachusetts, to be United States District Judge for the District of Massachusetts",2023-02-28T17:44:00,30
2023/s32,nomination,"On the Nomination PN77: Margaret R. Guzman, of Massachusetts, to be United States District Judge for the District of Massachusetts",2023-03-01T11:31:00,31
2023/s33,cloture,"Motion to Invoke Cloture: Colleen R. Lawless to be U.S. District Judge for the Central District of Illinois: Colleen R. Lawless, of Illinois, to be United States District Judge for the Central District of Illinois",2023-03-01T12:33:00,32
2023/s34,cloture,"Motion to Invoke Cloture: Jonathan James Canada Grey to be U.S. District Judge for the Eastern District of Michigan: Jonathan James Canada Grey, of Michigan, to be United States District Judge for the Eastern District of Michigan",2023-03-01T14:23:00,33
2023/s35,passage,"H.J.Res. 30 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to “Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Right",2023-03-01T16:08:00,34
2023/s36,cloture,"Motion to Invoke Cloture: James Edward Simmons, Jr., to be U.S. District Judge for the Southern District of California: James Edward Simmons, Jr., of California, to be United States District Judge for the Southern District of California",2023-03-01T16:53:00,35
2023/s37,nomination,"On the Nomination PN170: Colleen R. Lawless, of Illinois, to be United States District Judge for the Central District of Illinois",2023-03-02T11:55:00,36
2023/s38,cloture,"Motion to Invoke Cloture: Gordon P. Gallagher to be U.S. District Judge for the District of Colorado: Gordon P. Gallagher, of Colorado, to be United States District Judge for the District of Colorado",2023-03-02T12:41:00,37
2023/s39,nomination,"On the Nomination PN171: Jonathan James Canada Grey, of Michigan, to be United States District Judge for the Eastern District of Michigan",2023-03-02T13:45:00,38
2023/s40,cloture,"Motion to Invoke Cloture: Robert Stewart Ballou to be U.S. District Judge for the Western District of Virginia: Robert Stewart Ballou, of Virginia, to be United States District Judge for the Western District of Virginia",2023-03-06T17:31:00,39
2023/s41,nomination,"On the Nomination PN166: Robert Stewart Ballou, of Virginia, to be United States District Judge for the Western District of Virginia",2023-03-07T11:32:00,40
2023/s42,cloture,"Motion to Invoke Cloture: Andrew G. Schopler to be U.S. District Judge for the Southern District of California: Andrew G. Schopler, of California, to be United States District Judge for the Southern District of California",2023-03-07T12:26:00,41
2023/s43,nomination,"On the Nomination PN178: Andrew G. Schopler, of California, to be United States District Judge for the Southern District of California",2023-03-07T14:15:00,42
2023/s44,cloture,"Motion to Invoke Cloture: Arun Subramanian to be U.S. District Judge for the Southern District of New York: Arun Subramanian, of New York, to be United States District Judge for the Southern District of New York",2023-03-07T14:53:00,43
2023/s45,nomination,"On the Nomination PN179: Arun Subramanian, of New York, to be United States District Judge for the Southern District of New York",2023-03-07T16:33:00,44
2023/s46,cloture,"Motion to Invoke Cloture: Patrice H. Kunesh to be Commissioner of the Administration for Native Americans, Department of Health and Human Services: Patrice H. Kunesh, of Minnesota, to be Commissioner of the Administration for Native Americans, Department of Health and Human Services",2023-03-07T17:26:00,45
2023/s47,nomination,"On the Nomination PN162: Patrice H. Kunesh, of Minnesota, to be Commissioner of the Administration for Native Americans, Department of Health and Human Services",2023-03-08T10:48:00,46
2023/s48,cloture,"Motion to Invoke Cloture: Daniel I. Werfel to be Commissioner of Internal Revenue: Daniel I. Werfel, of the District of Columbia, to be Commissioner of Internal Revenue for the term expiring November 12, 2027",2023-03-08T11:46:00,47
2023/s49,passage,H.J.Res. 26 (118th): Disapproving the action of the District of Columbia Council in approving the Revised Criminal Code Act of 2022.,2023-03-08T18:27:00,48
2023/s50,nomination,"On the Nomination PN27: Daniel I. Werfel, of the District of Columbia, to be Commissioner of Internal Revenue for the term expiring November 12, 2027",2023-03-09T11:51:00,49
2023/s51,nomination,"On the Nomination PN175: James Edward Simmons, Jr., of California, to be United States District Judge for the Southern District of California",2023-03-09T12:47:00,50
2023/s52,nomination,"On the Nomination PN91: Maria Araujo Kahn, of Connecticut, to be United States Circuit Judge for the Second Circuit",2023-03-09T13:45:00,51
2023/s53,cloture,"Motion to Invoke Cloture: Brent Neiman to be a Deputy Under Secretary of the Treasury: Brent Neiman, of Illinois, to be a Deputy Under Secretary of the Treasury",2023-03-14T17:26:00,52
